dauid,Emp_fulltime,Emp_notemp,stu_notstudent,stu_fulltime,person_n,hhld_size,hhld_vehicles,person_age,drivelic_NO,drivelic_YES,TPass_No,person_N_trips
35200479,429.75,119.92,549.67,22.62,684.76,3.084378898,1.815833884,36.36976459,142.16,542.6,562.77,2.902374555
35200480,136.85,48.92,212.2,0,270.59,2.36516006,1.278020494,52.16822499,21.92,248.67,123.96,3.392069182
35200481,28.47,52.17,98.35,0,162.65,2.353153935,1.282552083,61.49904703,43.88,118.77,144.94,3.456993544
35200482,240.31,95.57,326.73,31.77,465.69,2.312846202,0.916718848,41.26871953,162.75,270.8,276.11,1.948012626
35200483,133.18,69.65,221.35,20.17,262.88,2.125313283,1.312798124,40.44107578,100.5,162.38,191.58,1.854572428
35200484,189.85,226.23,506.11,59.14,739.55,2.681728941,0.554831874,41.83114056,433.2,306.35,510.64,1.886620242
35200488,20.18,0,20.18,0,76.07,1.438268104,1.056154282,68.65650059,9.53,66.54,76.07,2.718811621
35200489,100.74,24.08,100.74,24.08,181,2.023921109,0.40929506,46.24077348,84.58,96.42,56.18,2.643977901
35200490,142.1,0,246.66,0,287.9,4.722629287,1.754486567,34.90920458,84.48,203.42,287.9,2.561167072
35200491,10.04,0,20.08,0,43.04,2,1,73.90241636,21.52,21.52,43.04,1.632899628
35200492,131.22,28.52,188.26,0,248.16,3.619075397,1.606387633,38.67633785,92.96,155.2,157.6,1.3525951
35200493,223.87,0,236.27,0,389.53,2.881017378,1.11006059,43.41514132,106.35,283.18,166.72,1.924139347
35200494,56.9,74.48,131.38,0,245.27,3.188264898,1.146517214,47.43935255,109.36,135.91,182.82,1.79683614
35200495,64.9,139.52,270.18,59.81,400.07,2.912476251,1.411019633,45.63326418,90.57,309.5,267.69,1.478041343
35200497,268.4,39.19,307.59,42.05,425.43,2.49394012,0.998802395,47.99670921,158.44,266.99,226.84,2.075547094
35200498,223,219.76,442.09,34.04,711.05,3.461673885,0.954015704,37.86681668,338.73,372.32,554.04,3.31293158
35200499,169.61,69.91,270.47,0,379.54,2.45089751,0.848002316,49.62860305,97.58,251.88,238.93,2.27564947
35200505,66.63,29.51,112.84,0,162.39,1.824631211,0.413916925,52.36270706,30.07,132.32,125.04,2.324219472
35200506,168.21,12.63,147.9,0,258.35,2.042615433,0.960863378,52.73307529,46.64,211.71,132.43,2.568724598
35200510,96.72,66.63,163.35,11.63,244.42,2.611737548,1.332327089,50.78021439,69.98,174.44,158.06,2.367113984
35200511,198.49,0,234.61,11.78,313.79,1.940735269,0.88357293,46.52688104,86.24,211.83,192.78,2.424073425
35200512,193.11,23.79,288.25,0,325.92,2.610660625,1.033687098,47.37404885,55.94,269.98,210.13,4.129602356
35200513,58.36,47.79,122.81,33.32,211.28,2.558178956,1.015135004,52.66920674,75.19,136.09,168.64,1.921336615
35200514,85.86,44.57,131.42,24.55,165.57,2.48845281,1,39.83112883,4.8,160.77,80.34,2.556139397
35200515,304.51,109.26,392.42,14.43,508.6,2.80228284,1.234329658,40.87278805,102.57,361.41,383.67,2.954148643
